number,id,title,state,user,pr_files
451,14188186,"Performance: ""implementation"" and ""alternatives""",closed,lindbrook,Performance.rmd
450,14139808,Update Performance.rmd,closed,lindbrook,Performance.rmd
449,13989942,Update Performance.rmd,closed,lindbrook,Performance.rmd
448,13874754,Update C-interface.rmd,closed,agrabovsky,C-interface.rmd
447,13865702,Update dsl.rmd,closed,lindbrook,dsl.rmd
446,13862352,fixed a tiny typo in Rcpp.rmd,closed,eriqande,Rcpp.rmd
445,13772446,Update dsl.rmd,closed,lindbrook,dsl.rmd
444,13720263,Update Subsetting - minor tweaks,closed,justmarkham,Subsetting.rmd
443,13526984,Update Expressions.rmd,closed,lindbrook,Expressions.rmd
442,13507643,Expressions,closed,lindbrook,Expressions.rmd
441,13504397,Update Performance.rmd,closed,darrkj,Performance.rmd
440,13504367,Update Performance.rmd,closed,darrkj,Performance.rmd
439,13456090,Expressions,closed,lindbrook,Expressions.rmd
438,13406837,NSE:Calling to Downsides,closed,lindbrook,Computing-on-the-language.rmd
437,13357599,missing word,closed,renkun-ken,Profiling.rmd
436,13353025,Scoping issues,closed,lindbrook,Computing-on-the-language.rmd
435,13350392,typo,closed,renkun-ken,Computing-on-the-language.rmd
434,13234576,Update Introduction.rmd,closed,shannonrush,Introduction.rmd
433,13200065,NSE: expressions and subset,closed,lindbrook,Computing-on-the-language.rmd
432,13148860,"Combining FOs, common pattern & subtle bug",closed,lindbrook,Function-operators.rmd
431,13142208,Input FOs,closed,lindbrook,Function-operators.rmd
430,13140737,Input FOs,closed,lindbrook,Function-operators.rmd
429,13080477,Behavioural FOs (cont'd) + Output FOs,closed,lindbrook,Function-operators.rmd
428,12990611,Behavioural FOs intro,closed,lindbrook,Function-operators.rmd
427,12990158,Section headings as the four types of FO's,closed,lindbrook,Function-operators.rmd
426,12965150,Fixed a small typo,closed,wilkinson,memory.rmd
425,12939815,Function operators & In other languages,closed,lindbrook,Function-operators.rmd
424,12930782,reductive cumulative sum +,closed,lindbrook,Functionals.rmd
423,12924250,Fix the way of getting Rinternals header path,closed,gokceneraslan,C-interface.rmd
422,12841748,A family of functions,closed,lindbrook,Functionals.rmd
421,12820826,Mathematical functionals & Converting loops,closed,lindbrook,Functionals.rmd
420,12778495,period,closed,ajschumacher,Function-operators.rmd
419,12777141,italicize list items; four spaces for indent,closed,ajschumacher,Functionals.rmd
418,12776775,grammar / shorter sentences,closed,ajschumacher,Functionals.rmd
417,12776501,na.rm default to FALSE,closed,ajschumacher,Functionals.rmd
416,12776465,add periods at end of sentences,closed,ajschumacher,Functionals.rmd
415,12754692,fixed typos,closed,MaartenKruijver,Computing-on-the-language.rmd
414,12732740,Functional programming,closed,lindbrook,Functionals.rmd
413,12728864,re-clarify two examples,closed,ajschumacher,Functionals.rmd
412,12700567,clarify two example implementations,closed,ajschumacher,Functionals.rmd
411,12698265,Update memory.rmd - fixing typos,closed,clayford,memory.rmd
410,12659928,add period,closed,ajschumacher,Functionals.rmd
409,12659039,grammar / default Reduce is L-to-R,closed,ajschumacher,Functionals.rmd
408,12658816,readability,closed,ajschumacher,Functionals.rmd
407,12658375,"tense, period inside parens",closed,ajschumacher,Functionals.rmd
406,12658224,period inside parentheses,closed,ajschumacher,Functionals.rmd
405,12656704,consistent tense (add s),closed,ajschumacher,Functionals.rmd
404,12656080,"punctuation, full argument name, capitalization",closed,ajschumacher,Functionals.rmd
403,12655631,missing word,closed,ajschumacher,Functionals.rmd
402,12655552,periods,closed,ajschumacher,Functionals.rmd
401,12654608,"punctuation, formal name, ordering",closed,ajschumacher,Functionals.rmd
399,12639656,Data structure functionals,closed,lindbrook,Functionals.rmd
398,12598664,For loop functionals: friends of `lapply()`,closed,lindbrook,Functionals.rmd
397,12595746,Fixed type order,closed,linzhp,Data-structures.rmd
396,12586423,typo + looping patterns,closed,lindbrook,Functionals.rmd
395,12577571,Update Rcpp.rmd,closed,Ironholds,Rcpp.rmd
394,12528970,My first functional,closed,lindbrook,Functionals.rmd
393,12492210,Functionals introduction,closed,lindbrook,Functionals.rmd
392,12442723,small typo,closed,shabbychef,Namespaces.rmd
391,12347492,typo - capital / period,closed,ajschumacher,memory.rmd
390,12339180,Case study: numerical integration,closed,lindbrook,Functional-programming.rmd
389,12338195,Lists of functions,closed,lindbrook,Functional-programming.rmd
387,12315095,Typos,closed,crtahlin,memory.rmd
385,12313227,Typo.,closed,crtahlin,Profiling.rmd
384,12311411,Typos,closed,crtahlin,Performance.rmd
383,12309057,Typos,closed,crtahlin,Functionals.rmd
382,12300386,Update Introduction.rmd,closed,lindbrook,Introduction.rmd
380,12275737,Fix typo looki->look,closed,gokceneraslan,Performance.rmd
379,12266229,"""shouldn't run or display""",closed,ajschumacher,Functionals.rmd
378,12265313,Typo,closed,crtahlin,Functionals.rmd
377,12247974,Update Testing.rmd,closed,lindbrook,Testing.rmd
376,12240638,"indent block, add periods",closed,ajschumacher,Functionals.rmd
375,12240582,Fix typo intution->intuition,closed,gokceneraslan,Performance.rmd
374,12239611,"consistent names - ""xs"" and ""ws""",closed,ajschumacher,Functionals.rmd
373,12239109,sapply actually returning list(),closed,ajschumacher,Functionals.rmd
372,12238565,re-word problem statement,closed,ajschumacher,Functionals.rmd
371,12237310,"consistent spacing - ""for (""",closed,ajschumacher,Functionals.rmd
370,12237176,"typo - ""an vector"" to ""a vector""",closed,ajschumacher,Functionals.rmd
369,12229576,"typos - ""a"", ""P"", "".""",closed,ajschumacher,Functionals.rmd
368,12229361,clean up link and phrasing,closed,ajschumacher,Functionals.rmd
367,12228785,echo instead of eval,closed,ajschumacher,Functionals.rmd
366,12228375,URL becomes link,closed,ajschumacher,Functional-programming.rmd
365,12228248,periods and capitalization,closed,ajschumacher,Functional-programming.rmd
364,12227447,interpretation depends on `x`,closed,ajschumacher,Functional-programming.rmd
363,12227068,add periods and tweak wording,closed,ajschumacher,Functional-programming.rmd
362,12225704,connect / order examples,closed,ajschumacher,Functional-programming.rmd
361,12224493,backtick lapply,closed,ajschumacher,Functional-programming.rmd
360,12223422,typo - word order,closed,ajschumacher,Functional-programming.rmd
359,12223115,typo - missing period,closed,ajschumacher,Functional-programming.rmd
358,12222610,provide reference to OO chapter,closed,ajschumacher,Functional-programming.rmd
357,12222432,clarify and remove redundant result comments,closed,ajschumacher,Functional-programming.rmd
356,12222043,typo - missing period,closed,ajschumacher,Functional-programming.rmd
354,12212133,Fix small typo,closed,vzemlys,Performance.rmd
353,12211907,Fix small typo,closed,vzemlys,Performance.rmd
352,12210989,mutable state,closed,lindbrook,Functional-programming.rmd
351,12201707,typo,closed,Lingbing,memory.rmd
350,12201406,Introduction to closures,closed,lindbrook,Functional-programming.rmd
349,12199898,typo,closed,Lingbing,memory.rmd
348,12191638,fixing typos,closed,clayford,Performance.rmd
347,12174721,"Sentence correction,Example correction",closed,crtahlin,Functionals.rmd
345,12165924,Anonymous functions,closed,lindbrook,Functional-programming.rmd
344,12125449,Introduction,closed,lindbrook,Introduction.rmd
343,12104723,Motivation,closed,lindbrook,Functional-programming.rmd
342,12104425,Update Package-basics.rmd,closed,Ironholds,Package-basics.rmd
341,12065651,typo,closed,Lingbing,Package-basics.rmd
340,12048876,extra word typo,closed,lindbrook,Functional-programming.rmd
339,12016033,Other languages,closed,lindbrook,Functional-programming.rmd
338,12007261,Fixed 'arugment' typo,closed,jochenvdv,C-interface.rmd
336,11991674,Fix typo,closed,nstjhp,Computing-on-the-language.rmd
335,11990537,"Getting `:)`, delayed bindings timing",closed,tonytonov,Environments.rmd
334,11979660,Functional Programming intro,closed,lindbrook,Functional-programming.rmd
333,11932850,typo and suggested link,closed,Lingbing,Profiling.rmd
332,11932581,typo,closed,Lingbing,Performance.rmd
330,11928913,clarify language,closed,ajschumacher,Functional-programming.rmd
329,11928598,clean up markdown for nested bullets,closed,ajschumacher,Functional-programming.rmd
328,11928387,clarify description and example,closed,ajschumacher,Functional-programming.rmd
327,11927910,"typo - ""anoynmous""",closed,ajschumacher,Functional-programming.rmd
326,11927888,eval=FALSE instead of echo=FALSE,closed,ajschumacher,Functional-programming.rmd
325,11927481,"number agreement, grammar",closed,ajschumacher,Functional-programming.rmd
324,11927414,convert to sentence,closed,ajschumacher,Functional-programming.rmd
323,11877553,"typo - ""is"" to ""if""",closed,ajschumacher,Exceptions-Debugging.rmd
322,11877437,make parenthetical into proper sentence,closed,ajschumacher,Exceptions-Debugging.rmd
321,11877385,"typo - missing ""the""",closed,ajschumacher,Exceptions-Debugging.rmd
319,11870314,Defensive programming,closed,lindbrook,Exceptions-Debugging.rmd
318,11866525,Update Package-development-cycle.rmd (typos/suggestions),closed,liangcj,Package-development-cycle.rmd
317,11849498,Update memory.rmd,closed,clayford,memory.rmd
316,11834759,"typos, extra white space, knitr option",closed,tonytonov,Environments.rmd
315,11834078,Debugging tools and condition handling,closed,lindbrook,Exceptions-Debugging.rmd
314,11825191,Debugging tools intro,closed,lindbrook,Exceptions-Debugging.rmd
313,11812650,Typos in performance chapter,closed,parkerabercrombie,Performance.rmd
312,11798173,typo,closed,Lingbing,Special-environments.rmd
311,11790019,competent -> fluent?,closed,lindbrook,Vocabulary.rmd
310,11787098,Line length & typo,closed,lindbrook,Style.rmd
309,11786385,Update index.rmd,closed,Ironholds,index.rmd
308,11782689,Update Functional-programming.rmd,closed,Ironholds,Functional-programming.rmd
307,11782405,Update Special-environments.rmd,closed,Ironholds,Special-environments.rmd
306,11779493,Update Data-structures.rmd,closed,Ironholds,Data-structures.rmd
305,11779189,Update Environments.rmd,closed,Ironholds,Environments.rmd
304,11773574,Debugging techniques,closed,lindbrook,Exceptions-Debugging.rmd
303,11766913,"typo - chunk option ""message"" (no ""s"")",closed,ajschumacher,Functional-programming.rmd
302,11766329,add link to function operators,closed,ajschumacher,Exceptions-Debugging.rmd
301,11756514,correct linking style,closed,ajschumacher,Exceptions-Debugging.rmd
300,11756363,"clickable ""functions chapter""",closed,ajschumacher,Exceptions-Debugging.rmd
